name,dy_cd,glm_aed,gotm_wet,gotm_fabm,name_text,name_full,name_parse,units,conversion_aed,default,derived,derived_from,keywords
TRC_col,COL,,,,Inert,Inert_tracer,Inert~tracer,,1,,FALSE,NA,inert|TRC_col
MET_radswd,solar_Wm^2,ShortWave,swr,,Shortwave radiation,Shortwave_radiation_W/m2,Shortwave~radiation~(W/m2),W/m2,1,,FALSE,NA,shortwave radiation|MET_radswd
MET_radlwd,,LongWave,,,Longwave radiation,Longwave_radiation_W/m2,Longwave~radiation~(W/m2),W/m2,1,,FALSE,NA,longwave radiation|MET_radlwd
MET_cldcvr,cloud_0to1,Cloud,cloud,,Cloud cover,Cloud_cover,Cloud~cover~(0-1),1,1,,FALSE,NA,cloud cover|MET_cldcvr
MET_tmpair,tempture_C,AirTemp,airt,,Air temperature,Air_temperature_degC,Air~temperature~(degree~C),degC,1,,FALSE,NA,air temperature|MET_tmpair
MET_tmpdew,,,,,Dewpoint temperature,Dewpoint_temperature_degC,Dewpoint~temperature~(degree~C),degC,,,FALSE,NA,dewpoint temperature|MET_tmpdew
MET_prsttn,,,airp,,Station pressure,Station_pressure_Pa,Station~pressure~(Pa),Pa,1,,FALSE,NA,station pressure|MET_prsttn
MET_prmslp,,,,,Mean sea level pressure,Mean_sea_level_pressure_Pa,Mean~sea~level~pressure~(Pa),Pa,1,,FALSE,NA,mean sea level pressure|MET_prmslp
MET_prvapr,vapour_hPa,,,,Vapour pressure,Vapour_pressure_hPa,Vapour~pressure~(hPa),hPa,1,,FALSE,NA,vapour pressure|MET_prvapr
MET_humrel,,RelHum,hum,,Relative humidity,Relative_humidity_percent,Relative~humidity~('%'),%,1,,FALSE,NA,relative humidity|MET_humrel
MET_wndspd,wind_ms^-1,WindSpeed,,,Wind speed,Wind_speed_m/s,Wind~speed~(m/s),m/s,1,,FALSE,NA,wind speed|MET_wndspd
MET_wnddir,wind_direction_degrees,,,,Wind direction,Wind_direction_degree,Wind~direction~(degree),degree,1,,FALSE,NA,wind direction|MET_wnddir
MET_wnduvu,,,u10,,u wind speed,u_wind_speed_m/s,u~wind~speed~(m/s),m/s,1,,FALSE,NA,u wind speed|MET_wnduvu
MET_wnduvv,,,v10,,v wind speed,v_wind_speed_m/s,v~wind~speed~(m/s),m/s,1,,FALSE,NA,v wind speed|MET_wnduvv
MET_pprain,rain_m,Rain,precip,,Rain,Rain_m,Rain~(m),m,1,,FALSE,NA,rain|MET_pprain
MET_ppsnow,,Snow,,,Snow,Snow_m,Snow~(m),m,1,,FALSE,NA,snow|MET_ppsnow
