"ID","Name","Area","Region","Geomorphic type","Depth","Depth measurement","Data","aeme_file"
"LID 48657","Lake Marymere",23.99,"Canterbury","Glacial",27.53,"Predicted","Minimal Data","LID48657"
"LID 48660","Lake Pearson",201.85,"Canterbury","Glacial",16.67,"Measured","Limited and Irregular","LID48660"
"LID 48663","Lake Grasmere",62.33,"Canterbury","Riverine",13.37,"Measured","Limited and Irregular","LID48663"
"LID 48669","Lake Hawdon",35.35,"Canterbury","Glacial",25.7,"Predicted","Minimal Data","LID48669"
"LID 48673","Lake Sarah",21.99,"Canterbury","Glacial",17.73,"Predicted","Minimal Data","LID48673"
"LID 48679","Blackwater Lake",12.89,"Canterbury","Glacial",10.37,"Predicted","No data","LID48679"
"LID 48700","Lake Letitia",29.19,"Canterbury","Glacial",39.26,"Predicted","Minimal Data","LID48700"
"LID 48999","Mimimoto",2.01,"Canterbury","Shoreline",4.4,"Predicted","No data","LID48999"
"LID 49007","LID 49007",8.19,"Canterbury","Shoreline",7.57,"Predicted","No data","LID49007"
"LID 49026","LID 49026",5.17,"Canterbury","Dam",4.69,"Predicted","No data","LID49026"
"LID 49090","Ohinewai",17.08,"Waikato","Riverine",4.67,"Measured","Minimal Data","LID49090"
"LID 49091","Rotokawau",14.83,"Waikato","Peat",3.48,"Predicted","No data","LID49091"
"LID 49169","LID 49169",18.5,"Waikato","Riverine",3.17,"Predicted","No data","LID49169"
"LID 49176","Okowhao",7.48,"Waikato","Riverine",3.91,"Predicted","No data","LID49176"
"LID 49180","Whangape",1078.87,"Waikato","Riverine",2.9,"Measured","Limited and Irregular","LID49180"
"LID 49186","Rotongaro",283.9,"Waikato","Riverine",3.3,"Measured","Minimal Data","LID49186"
"LID 49187","Rotongaroiti",44.5,"Waikato","Riverine",0.86,"Measured","Minimal Data","LID49187"
"LID 49196","Waiwhata",1.34,"Waikato","Riverine",5.17,"Predicted","No data","LID49196"
"LID 49200","Hakanoa",56.41,"Waikato","Riverine",1.68,"Measured","Limited and Irregular","LID49200"
"LID 49239","Kimihia",48.77,"Waikato","Riverine",6.2,"Predicted","No data","LID49239"
"LID 49273","Waikoura",2.27,"Bay of Plenty","Aeolian",4.15,"Predicted","No data","LID49273"
"LID 49291","Otamatearoa",4.87,"Waikato","Aeolian",4.62,"Measured","No data","LID49291"
"LID 49294","Whatihua",3.86,"Auckland","Aeolian",10.96,"Measured","Seasonal but Detailed","LID49294"
"LID 49295","Puketi",5.9,"Waikato","Aeolian",6.87,"Measured","Minimal Data","LID49295"
"LID 49309","Pehiakura Nui (Pehiakura Big)",4.27,"Auckland","Aeolian",12.05,"Measured","Minimal Data","LID49309"
"LID 49337","Pokorua",25.92,"Auckland","Aeolian",5.67,"Predicted","Minimal Data","LID49337"
"LID 49580","LID 49580",7.38,"Auckland","Dam",4.77,"Predicted","No data","LID49580"
"LID 49583","LID 49583",5.46,"Auckland","Dam",3.02,"Measured","No data","LID49583"
"LID 49643","LID 49643",20.57,"Auckland","Aeolian",5.62,"Predicted","No data","LID49643"
"LID 49714","LID 49714",7.46,"Southland","Landslide",33.06,"Predicted","No data","LID49714"
"LID 49715","Lake Iceberg",9.37,"Southland","Glacial",NA,"Predicted","No data","LID49715"
"LID 49716","Lake Agnes",17.55,"Southland","Glacial",67.06,"Predicted","No data","LID49716"
"LID 49721","LID 49721",5.74,"Southland","Riverine",36.94,"Predicted","No data","LID49721"
"LID 49725","Lake Nerine",16.26,"Otago","Glacial",NA,"Predicted","No data","LID49725"
"LID 49884","Kereta",23.57,"Auckland","Aeolian",1.28,"Measured","Seasonal but Detailed","LID49884"
"LID 49886","Karaka",2.36,"Auckland","Aeolian",7.3,"Predicted","No data","LID49886"
"LID 49888","LID 49888",5.77,"Auckland","Aeolian",5.53,"Predicted","No data","LID49888"
"LID 49895","Te Kanae",5.59,"Auckland","Aeolian",18.95,"Measured","Minimal Data","LID49895"
"LID 50151","Pupuke",103.83,"Auckland","Volcanic",58.98,"Measured","Periodic but Sparse","LID50151"
"LID 50215","LID 50215",11.29,"Northland","Shoreline",7.29,"Predicted","No data","LID50215"
"LID 50269","Kuwakatai",27.78,"Auckland","Aeolian",15.82,"Measured","Limited and Irregular","LID50269"
"LID 50270","Rototoa",104.81,"Auckland","Aeolian",26.06,"Measured","Seasonal but Detailed","LID50270"
"LID 50298","LID 50298",5.92,"Northland","Aeolian",17.23,"Predicted","No data","LID50298"
"LID 50299","LID 50299",19.46,"Northland","Aeolian",9.01,"Predicted","No data","LID50299"
"LID 50304","LID 50304",9.99,"Northland","Aeolian",8.61,"Predicted","No data","LID50304"
"LID 50305","LID 50305",5.98,"Northland","Aeolian",6.15,"Predicted","No data","LID50305"
"LID 50307","Karoro (Lake Mathews)",22.16,"Northland","Aeolian",4.59,"Predicted","No data","LID50307"
"LID 50309","Whakaneke",8.76,"Northland","Aeolian",4.98,"Predicted","No data","LID50309"
"LID 50310","LID 50310",7.05,"Northland","Aeolian",5.47,"Predicted","No data","LID50310"
"LID 50312","Otapuiti",4.94,"Northland","Aeolian",4.99,"Predicted","No data","LID50312"
"LID 50314","Mokeno",159.11,"Northland","Aeolian",6.5,"Measured","Minimal Data","LID50314"
"LID 50318","LID 50318",7.41,"Northland","Aeolian",5.95,"Predicted","No data","LID50318"
"LID 50320","Karaka",10.54,"Northland","Aeolian",5.78,"Measured","Minimal Data","LID50320"
"LID 50336","Wairere",10.93,"Northland","Aeolian",12.28,"Predicted","No data","LID50336"
"LID 50345","Rototuna",8.84,"Northland","Aeolian",5.36,"Measured","Minimal Data","LID50345"
"LID 50349","Rototuna Lower",6.17,"Northland","Aeolian",9.81,"Predicted","No data","LID50349"
"LID 50371","Kahuparere",7.33,"Northland","Aeolian",7.62,"Measured","Minimal Data","LID50371"
"LID 50373","Kanono",77.03,"Northland","Aeolian",15.51,"Measured","Minimal Data","LID50373"
"LID 50377","Waingata",11.03,"Northland","Aeolian",9.32,"Predicted","No data","LID50377"
"LID 50401","Humuhumu",139.46,"Northland","Aeolian",15.15,"Measured","Minimal Data","LID50401"
"LID 50403","Rotootuauru (Lake Swan)",17.2,"Northland","Aeolian",7.22,"Measured","Minimal Data","LID50403"
"LID 50405","Rotopouua",4.81,"Northland","Aeolian",6.72,"Predicted","No data","LID50405"
"LID 50413","Rotokawau [Pouto]",25.68,"Northland","Aeolian",12.89,"Measured","Minimal Data","LID50413"
"LID 50470","Kopuera",44.89,"Waikato","Riverine",2.83,"Predicted","Minimal Data","LID50470"
"LID 50629","Lake Beddoes",58.41,"Southland","Landslide",70.01,"Predicted","No data","LID50629"
"LID 50639","LID 50639",11.17,"Southland","Glacial",43.93,"Predicted","No data","LID50639"
"LID 50644","LID 50644",10.24,"Southland","Glacial",NA,"Predicted","No data","LID50644"
"LID 50645","LID 50645",6.92,"Southland","Glacial",61.87,"Predicted","No data","LID50645"
"LID 50695","LID 50695",10.18,"Otago","Glacial",NA,"Predicted","No data","LID50695"
"LID 50704","Lake Hope",19.21,"Otago","Glacial",NA,"Predicted","No data","LID50704"
"LID 50711","Te Kahua",10.82,"Otago","Glacial",NA,"Predicted","No data","LID50711"
